location,location_name,epiweek,value,target_end_date,inc,target_type
GM,Germany,23,2482,2020-06-06,incident,cases
GM,Germany,24,2344,2020-06-13,incident,cases
GM,Germany,25,3113,2020-06-20,incident,cases
GM,Germany,26,4108,2020-06-27,incident,cases
GM,Germany,27,2853,2020-07-04,incident,cases
GM,Germany,28,2460,2020-07-11,incident,cases
GM,Germany,29,2816,2020-07-18,incident,cases
GM,Germany,30,3592,2020-07-25,incident,cases
GM,Germany,31,4689,2020-08-01,incident,cases
GM,Germany,32,5683,2020-08-08,incident,cases
GM,Germany,33,7492,2020-08-15,incident,cases
GM,Germany,34,9254,2020-08-22,incident,cases
GM,Germany,35,8904,2020-08-29,incident,cases
GM,Germany,36,8011,2020-09-05,incident,cases
GM,Germany,37,9483,2020-09-12,incident,cases
GM,Germany,38,11590,2020-09-19,incident,cases
GM,Germany,39,12660,2020-09-26,incident,cases
GM,Germany,40,14228,2020-10-03,incident,cases
GM,Germany,41,22423,2020-10-10,incident,cases
GM,Germany,42,37006,2020-10-17,incident,cases
GM,Germany,43,61618,2020-10-24,incident,cases
GM,Germany,44,100748,2020-10-31,incident,cases
GM,Germany,45,123735,2020-11-07,incident,cases
GM,Germany,46,131068,2020-11-14,incident,cases
GM,Germany,47,128972,2020-11-21,incident,cases
GM,Germany,48,125561,2020-11-28,incident,cases
GM,Germany,49,125467,2020-12-05,incident,cases
GM,Germany,50,146960,2020-12-12,incident,cases
GM,Germany,51,170722,2020-12-19,incident,cases
GM,Germany,52,155865,2020-12-26,incident,cases
GM,Germany,53,128248,2021-01-02,incident,cases
PL,Poland,1,59735,2021-01-09,incident,cases
PL,Poland,10,5,2020-03-07,incident,cases
PL,Poland,11,63,2020-03-14,incident,cases
PL,Poland,12,357,2020-03-21,incident,cases
PL,Poland,13,964,2020-03-28,incident,cases
PL,Poland,14,1994,2020-04-04,incident,cases
PL,Poland,15,2572,2020-04-11,incident,cases
PL,Poland,16,2420,2020-04-18,incident,cases
PL,Poland,17,2454,2020-04-25,incident,cases
